epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4755748510360718,9.999999747378752e-05,1.2505847215652466,0.6228379607200623,0.8798011541366577
1,0.5647866725921631,9.999999747378752e-05,1.0824246406555176,0.6305316090583801,0.9071651101112366
2,0.5820679664611816,9.999999747378752e-05,1.0162744522094727,0.6724128127098083,0.7574629783630371
3,0.598539412021637,9.999999747378752e-05,0.949886679649353,0.691155195236206,0.7310753464698792
4,0.6082863211631775,9.999999747378752e-05,0.9243841767311096,0.6986753344535828,0.691038966178894
5,0.6120173335075378,9.999999747378752e-05,0.9050170183181763,0.6941053867340088,0.7123218178749084
0,0.5672306418418884,9.999999747378752e-06,1.590097427368164,0.5946086645126343,0.9040532112121582
1,0.5999710559844971,9.999999747378752e-06,0.9043694138526917,0.6559842824935913,0.785428524017334
2,0.6248589754104614,2.9999998787388904e-06,0.8336969017982483,0.6598600149154663,0.7887104749679565
3,0.6289804577827454,2.9999998787388904e-06,0.8104379773139954,0.6718921661376953,0.7661481499671936
4,0.6323644518852234,8.999999749903509e-07,0.8002733588218689,0.6759414672851562,0.754204511642456
0,0.6481561660766602,9.999999747378752e-06,0.7526018619537354,0.7002950310707092,0.6923632621765137
1,0.6608242988586426,9.999999747378752e-06,0.7239680886268616,0.7139468789100647,0.6600141525268555
2,0.6708893775939941,9.999999747378752e-06,0.6874432563781738,0.7166078686714172,0.6572655439376831
3,0.6770209670066833,9.999999747378752e-06,0.6578896045684814,0.7214670181274414,0.6431304216384888
4,0.6871728301048279,9.999999747378752e-06,0.6361958384513855,0.7449528574943542,0.5791705846786499
5,0.691265344619751,9.999999747378752e-06,0.6091930270195007,0.7362179756164551,0.6078824996948242
6,0.696905255317688,9.999999747378752e-06,0.6003759503364563,0.7382426261901855,0.5873573422431946
7,0.7018221020698547,2.9999998787388904e-06,0.5674771070480347,0.7423497438430786,0.5894676446914673
8,0.7099059820175171,2.9999998787388904e-06,0.5555444359779358,0.7504482865333557,0.5692467093467712
9,0.7102819681167603,2.9999998787388904e-06,0.5620594620704651,0.751778781414032,0.5607693195343018
